source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
REAC,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",REAC:R-HSA-9716542,0.000517253,3.286297125,712,659,76,10760,"RCC2,ERCC6L,DIAPH3,NUF2,CENPI,PKN2,ARHGAP29,AURKB,IQGAP3,KIF14,CDCA8,SRGAP2,SKA1,LBR,AHCTF1,CENPK,ACTR2,ARHGAP11A,POTEE,SLC4A7,MAD2L1,PLXNA1,RACGAP1,PAK2,PCDH7,PLEKHG4B,BASP1,KIF2A,PIK3R1,FAM169A,HIST1H2BJ,STK38,DST,FAM135A,YWHAZ,ARHGEF39,NET1,KIF5B,PKN3,DOCK1,TWF1,SENP1,PPP2R1B,SRGAP1,FRS2,UHRF1BP1L,NUP37,STARD13,FARP1,LIMK2,HSP90AA1,CENPP,ARHGDIG,YWHAE,ANKFY1,ARHGEF15,TAOK1,MYO19,PLXND1,CLTC,ROCK1,PIN1,RASAL2,SPEN,TUBB1,ABL1,ZNF512B,MAPK1,STK10,CLASP2,RANGAP1,NHS,CYBB,ARHGAP21,EFHD2,RNF20"
REAC,Mitotic Spindle Checkpoint,REAC:R-HSA-69618,0.004444578,2.352169433,109,659,20,10760,"RCC2,ERCC6L,NUF2,CENPI,AURKB,CDCA8,SKA1,AHCTF1,CENPK,MAD2L1,KIF2A,ANAPC15,PPP2R1B,UBE2S,NUP37,CENPP,TAOK1,CDC27,CLASP2,RANGAP1"
REAC,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,REAC:R-HSA-141444,0.018973459,1.72185349,92,659,17,10760,"RCC2,ERCC6L,NUF2,CENPI,AURKB,CDCA8,SKA1,AHCTF1,CENPK,MAD2L1,KIF2A,PPP2R1B,NUP37,CENPP,TAOK1,CLASP2,RANGAP1"
REAC,Nervous system development,REAC:R-HSA-9675108,0.027663561,1.55809191,574,659,59,10760,"PSMB2,DRP2,RBM8A,DNM3,SRGAP2,ACTR2,SCN5A,PLXNA4,EPHA6,PLXNA1,RPL22L1,RPL39L,PAK2,TRPC3,AKAP5,COL4A1,MYO10,NTN1,PIK3R1,RASA1,DPYSL3,UNC5A,COL9A1,HDAC2,EGFR,L1CAM,GFRA1,COL4A2,RET,DOCK1,RDX,SCN4B,MAGOHB,GRIN2B,SRGAP1,FRS2,PTPN11,MSI1,LIMK2,HSP90AA1,ADAM10,SEMA3A,ST8SIA2,RGMA,GSPT1,PSMD11,PLXND1,CLTC,TEAD1,EIF4A3,ROCK1,CAP1,TUBB1,ABL1,MAPK1,CLASP2,CACNA1I,MSN,COL5A2"
REAC,Separation of Sister Chromatids,REAC:R-HSA-2467813,0.04026352,1.395088258,188,659,26,10760,"RCC2,ERCC6L,PSMB2,NUF2,CENPI,AURKB,ESPL1,CDCA8,SKA1,AHCTF1,CENPK,MAD2L1,KIF2A,SMC1A,ANAPC15,PPP2R1B,UBE2S,NUP37,SMC3,CENPP,TAOK1,PSMD11,CDC27,TUBB1,CLASP2,RANGAP1"
REAC,M Phase,REAC:R-HSA-68886,0.040760389,1.389761677,407,659,45,10760,"RCC2,ERCC6L,KIF20A,PSMB2,NUF2,CENPI,AURKB,ESPL1,CDCA8,SKA1,LBR,AHCTF1,CENPK,MAD2L1,SMC2,KIF2A,HIST1H2BJ,CNTRL,PCM1,CEP135,HAUS6,DCTN3,SMC1A,TUBB,ACTR1A,ANAPC15,CEP164,PPP2R1B,UBE2S,NEDD1,NUP37,RB1,HSP90AA1,SMC3,CENPP,YWHAE,TAOK1,PSMD11,NUP155,CDC27,TUBB1,MAPK1,CLASP2,RANGAP1,NUP153"
REAC,RHO GTPase cycle,REAC:R-HSA-9012999,0.041398676,1.383013544,444,659,48,10760,"DIAPH3,PKN2,ARHGAP29,IQGAP3,KIF14,SRGAP2,LBR,ARHGAP11A,POTEE,SLC4A7,PLXNA1,RACGAP1,PAK2,PCDH7,PLEKHG4B,BASP1,PIK3R1,FAM169A,STK38,DST,FAM135A,ARHGEF39,NET1,PKN3,DOCK1,TWF1,SENP1,SRGAP1,FRS2,UHRF1BP1L,STARD13,FARP1,HSP90AA1,ARHGDIG,ANKFY1,ARHGEF15,PLXND1,CLTC,ROCK1,RASAL2,SPEN,ZNF512B,STK10,NHS,CYBB,ARHGAP21,EFHD2,RNF20"
WP,Retinoblastoma gene in cancer,WP:WP2446,3.61996E-06,5.441296723,88,455,21,7806,"RBBP4,RRM2,E2F2,CDC25A,SMC2,HMGB2,CDK6,RRM1,CCNE2,CDC7,SUV39H1,SMC1A,HMGB1,NPAT,CHEK1,RB1,CCND1,SMC3,MYC,TP53,ABL1"
WP,Integrated breast cancer pathway,WP:WP1984,0.000467492,3.330225404,154,455,25,7806,"EDAR,CDC25A,AURKA,BRCA2,CASP3,FER,BAK1,ESR1,EGFR,PKIA,TSC1,BMPR1A,TGFBR1,CHEK1,USP15,RB1,CCND1,SMAD6,MYC,TP53,ANXA1,BCL2,ABL1,MAPK1,FOSL2"
WP,DNA damage response,WP:WP707,0.006313023,2.199762621,69,455,14,7806,"CDC25A,CASP3,CDK6,CCNE2,NBN,SMC1A,CHEK1,APAF1,RB1,CCND1,MYC,TP53,FAS,ABL1"
WP,DNA IR-double strand breaks and cellular response via ATM,WP:WP3959,0.010821001,1.965732566,55,455,12,7806,"RIF1,BRCA2,CASP3,MDC1,BAK1,NBN,SMC1A,CHEK1,APAF1,SMC3,TP53,ABL1"
WP,Gastric cancer network 2,WP:WP2363,0.014522421,1.837960973,33,455,9,7806,"LBR,AHCTF1,ATAD2,COL9A1,EGFR,UBE2T,CHTF8,MYC,TP53"
