source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,response to abiotic stimulus,GO:0009628,0.00451269,2.345564516,130,305,15,10296,"WBGENE00007006,WBGENE00004321,WBGENE00006818,WBGENE00001052,WBGENE00003166,WBGENE00002242,WBGENE00003891,WBGENE00019012,WBGENE00004393,WBGENE00002026,WBGENE00001030,WBGENE00010191,WBGENE00003886,WBGENE00007929,WBGENE00005641"
GO:BP,G protein-coupled serotonin receptor signaling pathway,GO:0098664,0.024294196,1.614497461,14,305,5,10296,"WBGENE00001052,WBGENE00006411,WBGENE00004778,WBGENE00003386,WBGENE00011382"
GO:BP,establishment of localization,GO:0051234,0.037067911,1.43100189,1731,305,78,10296,"WBGENE00001187,WBGENE00009008,WBGENE00006663,WBGENE00004228,WBGENE00000171,WBGENE00001795,WBGENE00011726,WBGENE00002974,WBGENE00000501,WBGENE00004278,WBGENE00007200,WBGENE00013996,WBGENE00021814,WBGENE00020605,WBGENE00006772,WBGENE00001612,WBGENE00015131,WBGENE00006683,WBGENE00019830,WBGENE00003377,WBGENE00004193,WBGENE00003877,WBGENE00004877,WBGENE00018280,WBGENE00002242,WBGENE00002234,WBGENE00001122,WBGENE00000047,WBGENE00008957,WBGENE00004719,WBGENE00010994,WBGENE00015583,WBGENE00017398,WBGENE00021637,WBGENE00020903,WBGENE00022815,WBGENE00016066,WBGENE00017852,WBGENE00006594,WBGENE00016945,WBGENE00012030,WBGENE00006681,WBGENE00000177,WBGENE00008857,WBGENE00019979,WBGENE00020279,WBGENE00016431,WBGENE00017770,WBGENE00001374,WBGENE00020889,WBGENE00015660,WBGENE00017879,WBGENE00001616,WBGENE00003386,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00010741,WBGENE00004359,WBGENE00003886,WBGENE00004793,WBGENE00000233,WBGENE00013074,WBGENE00004218,WBGENE00004926,WBGENE00019018,WBGENE00016215,WBGENE00016005,WBGENE00017350,WBGENE00000530,WBGENE00014989,WBGENE00006832,WBGENE00010043,WBGENE00004194,WBGENE00013088,WBGENE00007419,WBGENE00009579,WBGENE00006660"
GO:BP,inorganic cation transmembrane transport,GO:0098662,0.048417845,1.314994544,276,305,21,10296,"WBGENE00001187,WBGENE00006663,WBGENE00006772,WBGENE00006683,WBGENE00002242,WBGENE00002234,WBGENE00020903,WBGENE00016066,WBGENE00017852,WBGENE00006681,WBGENE00001374,WBGENE00015660,WBGENE00017879,WBGENE00018402,WBGENE00003570,WBGENE00006667,WBGENE00004359,WBGENE00004793,WBGENE00017350,WBGENE00006832,WBGENE00006660"
GO:BP,response to monoamine,GO:0071867,0.048479429,1.314442504,25,305,6,10296,"WBGENE00006772,WBGENE00001052,WBGENE00006411,WBGENE00004778,WBGENE00003386,WBGENE00011382"
GO:BP,response to dopamine,GO:1903350,0.048479429,1.314442504,25,305,6,10296,"WBGENE00006772,WBGENE00001052,WBGENE00006411,WBGENE00004778,WBGENE00003386,WBGENE00011382"
GO:BP,response to catecholamine,GO:0071869,0.048479429,1.314442504,25,305,6,10296,"WBGENE00006772,WBGENE00001052,WBGENE00006411,WBGENE00004778,WBGENE00003386,WBGENE00011382"
KEGG,Longevity regulating pathway - worm,KEGG:04212,5.42244E-05,4.265805111,82,63,10,3369,"WBGENE00004056,WBGENE00002025,WBGENE00002163,WBGENE00000908,WBGENE00000221,WBGENE00013955,WBGENE00000912,WBGENE00008857,WBGENE00003473,WBGENE00000831"
KEGG,Calcium signaling pathway,KEGG:04020,0.007144901,2.146003813,69,63,7,3369,"WBGENE00001187,WBGENE00021439,WBGENE00002881,WBGENE00001052,WBGENE00016265,WBGENE00017770,WBGENE00000286"
KEGG,FoxO signaling pathway,KEGG:04068,0.015189608,1.818453443,56,63,6,3369,"WBGENE00004056,WBGENE00002163,WBGENE00008439,WBGENE00000912,WBGENE00013766,WBGENE00000831"
WP,Metapathway UDP-glucuronosyltransferases,WP:WP1431,0.002447952,2.611197046,66,29,8,1077,"WBGENE00012013,WBGENE00020593,WBGENE00019234,WBGENE00015369,WBGENE00017336,WBGENE00017315,WBGENE00011453,WBGENE00013901"
WP,Dauer formation,WP:WP580,0.002921582,2.534381954,23,29,5,1077,"WBGENE00000910,WBGENE00000903,WBGENE00000908,WBGENE00000912,WBGENE00000915"
